"","master_metadata_album_artist_name","count","hours","percentage"
"429","KronoMuzik",54,1.89078055555556,0.0393477025313689
"430","M83",54,3.30815611111111,0.0393477025313689
"431","Paluch",54,2.83122805555556,0.0393477025313689
"432","SDM",54,2.14512555555556,0.0393477025313689
"433","Smokepurpp",54,1.87794166666667,0.0393477025313689
"434","George Harrison",53,3.12531222222222,0.0386190413733806
"435","Jeremy Zucker",53,2.52157222222222,0.0386190413733806
"436","Johan Papaconstantino",53,2.76653055555556,0.0386190413733806
"437","Lexer",53,5.22608611111111,0.0386190413733806
"438","Lunay",53,3.41882861111111,0.0386190413733806
"439","Mike Williams",53,2.19836333333333,0.0386190413733806
"440","Oleska",53,3.65001611111111,0.0386190413733806
"441","Polo & Pan",53,2.47522138888889,0.0386190413733806
"442","Roger Molls",53,2.89245861111111,0.0386190413733806
"443","Ski Mask The Slump God",53,2.16419527777778,0.0386190413733806
"444","Unlike Pluto",53,2.6930675,0.0386190413733806
"445","Veorra",53,3.05535027777778,0.0386190413733806
"446","iann dior",53,2.07792194444444,0.0386190413733806
"447","Arcade Fire",52,3.80369972222222,0.0378903802153922
"448","Bonga",52,3.57866805555556,0.0378903802153922
"449","Cage The Elephant",52,2.31049416666667,0.0378903802153922
"450","Cassius",52,2.90222111111111,0.0378903802153922
"451","Chinese Man",52,2.94297222222222,0.0378903802153922
"452","Diam's",52,2.69348222222222,0.0378903802153922
"453","Endzone",52,1.49900916666667,0.0378903802153922
"454","FORD MISKIN",52,2.39516638888889,0.0378903802153922
"455","Gramatik",52,2.96542666666667,0.0378903802153922
"456","High Tone",52,3.84518,0.0378903802153922
"457","Hooverphonic",52,2.71726333333333,0.0378903802153922
"458","Mozart La Para",52,2.459765,0.0378903802153922
"459","OneRepublic",52,2.24845472222222,0.0378903802153922
"460","Rag'n'Bone Man",52,2.23888916666667,0.0378903802153922
"461","SNBRN",52,2.31054111111111,0.0378903802153922
"462","Seth Gueko",52,2.85088027777778,0.0378903802153922
"463","Son Little",52,2.16219805555556,0.0378903802153922
"464","TM Juke",52,3.750795,0.0378903802153922
"465","$uicideboy$",51,1.97425138888889,0.0371617190574039
"466","Calle 13",51,3.70223972222222,0.0371617190574039
"467","Cordae",51,2.60247805555556,0.0371617190574039
"468","Flatdisk",51,2.26068083333333,0.0371617190574039
"469","KAYTRANADA",51,2.72502222222222,0.0371617190574039
"470","Roland Cristal",51,2.39199944444444,0.0371617190574039
"471","Steve Void",51,2.5188075,0.0371617190574039
"472","The White Stripes",51,2.69429222222222,0.0371617190574039
"473","Tyla Yaweh",51,2.39400361111111,0.0371617190574039
"474","Windows 96",51,2.14339777777778,0.0371617190574039
"475","Zeds Dead",51,2.78514111111111,0.0371617190574039
"476","7 Jaws",50,2.48809694444444,0.0364330578994156
"477","Angèle",50,2.40972833333333,0.0364330578994156
"478","Broiler",50,2.55899722222222,0.0364330578994156
"479","K Motionz",50,2.75258583333333,0.0364330578994156
"480","L'Or du Commun",50,3.23591138888889,0.0364330578994156
"481","La Fève",50,1.42122111111111,0.0364330578994156
"482","Light Of The World",50,3.89193222222222,0.0364330578994156
"483","Sander van Doorn",50,3.22724416666667,0.0364330578994156
"484","Slushii",50,2.82997777777778,0.0364330578994156
"485","Stereoclip",50,2.53422777777778,0.0364330578994156
"486","Yung Dash",50,3.01193333333333,0.0364330578994156
"487","AC/DC",49,2.65250194444444,0.0357043967414273
"488","CAZZETTE",49,2.72922972222222,0.0357043967414273
"489","K.Flay",49,3.38653583333333,0.0357043967414273
"490","Michael Feiner",49,2.13334444444444,0.0357043967414273
"491","Moha MMZ",49,2.1517025,0.0357043967414273
"492","New York Ska-Jazz Ensemble",49,3.23517138888889,0.0357043967414273
"493","Saint Motel",49,2.23279055555556,0.0357043967414273
"494","Snoop Dogg",49,2.99603361111111,0.0357043967414273
"495","The First Station",49,3.70000388888889,0.0357043967414273
"496","Trackhead",49,2.36624805555556,0.0357043967414273
"497","Various Artists",49,1.99647194444444,0.0357043967414273
"498","Alle Farben",48,2.59234305555556,0.034975735583439
"499","Bee Gees",48,3.19757527777778,0.034975735583439
"500","Electric Guest",48,2.57708833333333,0.034975735583439
"501","Kaan Pars",48,2.263515,0.034975735583439
"502","Lewis Capaldi",48,2.56247722222222,0.034975735583439
"503","Lucas Estrada",48,1.86196111111111,0.034975735583439
"504","Moderator",48,2.22984055555556,0.034975735583439
"505","NTO",48,4.81650305555556,0.034975735583439
"506","RetroVision",48,1.91640333333333,0.034975735583439
"507","Seth XVI",48,2.25518416666667,0.034975735583439
"508","The Score",48,2.45974722222222,0.034975735583439
"509","Timmy Trumpet",48,1.64484194444444,0.034975735583439
"510","Wax Tailor",48,1.95694694444444,0.034975735583439
"511","X Ambassadors",48,2.00477055555556,0.034975735583439
"512","A$AP Ferg",47,2.27778833333333,0.0342470744254507
"513","Buffalo Springfield",47,1.77085,0.0342470744254507
"514","Capo Plaza",47,2.32872583333333,0.0342470744254507
"515","Daddy Yankee",47,2.08709722222222,0.0342470744254507
"516","Gryffin",47,3.08712416666667,0.0342470744254507
"517","Izzy Bizu",47,2.15406777777778,0.0342470744254507
"518","Jimi Hendrix",47,2.93071277777778,0.0342470744254507
"519","Los San Joseph",47,2.75758388888889,0.0342470744254507
"520","Madcon",47,2.29481055555556,0.0342470744254507
"521","PVRIS",47,3.34013194444444,0.0342470744254507
"522","Steve Monite",47,3.85625,0.0342470744254507
"523","Tez Cadey",47,2.49172055555556,0.0342470744254507
"524","The Korgis",47,2.79718694444444,0.0342470744254507
"525","Tomsize",47,1.88510222222222,0.0342470744254507
"526","Tsew The Kid",47,2.31708361111111,0.0342470744254507
"527","Bellaire",46,3.71246833333333,0.0335184132674624
"528","Brian Witzig",46,3.14152166666667,0.0335184132674624
"529","Daft Punk",46,3.0054175,0.0335184132674624
"530","Disclosure",46,3.15680361111111,0.0335184132674624
"531","Earth, Wind & Fire",46,2.66788138888889,0.0335184132674624
"532","Giant Rooks",46,2.42745472222222,0.0335184132674624
"533","Lil Yachty",46,2.14176083333333,0.0335184132674624
"534","Lilly Wood and The Prick",46,3.10850972222222,0.0335184132674624
"535","Ralph Castelli",46,1.81825361111111,0.0335184132674624
"536","Shotgun Willy",46,1.87555111111111,0.0335184132674624
"537","The Amazons",46,3.235855,0.0335184132674624
"538","The Naked And Famous",46,2.78290083333333,0.0335184132674624
"539","Tujamo",46,2.0342,0.0335184132674624
"540","Bolémvn",45,2.09293694444444,0.0327897521094741
"541","FlicFlac",45,2.77079444444444,0.0327897521094741
"542","Gorgon City",45,2.16065638888889,0.0327897521094741
"543","Halsey",45,2.58375305555556,0.0327897521094741
"544","Klem Schen",45,2.22569388888889,0.0327897521094741
"545","Luca",45,2.09203611111111,0.0327897521094741
"546","Masked Wolf",45,1.39663222222222,0.0327897521094741
"547","Melano",45,2.67008305555556,0.0327897521094741
"548","Melentini",45,1.47254805555556,0.0327897521094741
"549","Mr. Belt & Wezol",45,1.77066944444444,0.0327897521094741
"550","Odezenne",45,2.10694916666667,0.0327897521094741
"551","Rich Brian",45,2.3050875,0.0327897521094741
"552","RÜFÜS DU SOL",45,4.28628194444444,0.0327897521094741
"553","Salmo",45,2.01041611111111,0.0327897521094741
"554","Shake Shake Go",45,2.52448388888889,0.0327897521094741
"555","Shay",45,1.72239972222222,0.0327897521094741
"556","Souleance",45,2.38923,0.0327897521094741
"557","Still Woozy",45,1.85133222222222,0.0327897521094741
"558","Tube & Berger",45,4.60805055555556,0.0327897521094741
"559","USKY",45,1.97830277777778,0.0327897521094741
"560","Y.V.E. 48",45,2.11241416666667,0.0327897521094741
"561","Yung Mavu",45,1.56899222222222,0.0327897521094741
"562","Aaron May",44,1.75026166666667,0.0320610909514857
"563","Blackmill",44,3.48517,0.0320610909514857
"564","Bonobo",44,2.62504666666667,0.0320610909514857
"565","Diego Power",44,3.46251722222222,0.0320610909514857
"566","Domeno",44,2.10424305555556,0.0320610909514857
"567","Elephante",44,1.77623277777778,0.0320610909514857
"568","Fablo",44,2.21252611111111,0.0320610909514857
"569","Foals",44,2.4808325,0.0320610909514857
"570","Jo Cohen",44,2.17943444444444,0.0320610909514857
"571","Joseito Fernández",44,2.56520888888889,0.0320610909514857
"572","Krewella",44,2.06614888888889,0.0320610909514857
"573","Michael Kiwanuka",44,2.61466138888889,0.0320610909514857
"574","NDPC",44,2.83289444444444,0.0320610909514857
"575","Nbhd Nick",44,1.57183277777778,0.0320610909514857
"576","OVERWERK",44,3.28722833333333,0.0320610909514857
"577","Octavian",44,2.03093027777778,0.0320610909514857
"578","One-T",44,2.27336333333333,0.0320610909514857
"579","Ray Parker Jr.",44,2.27761055555556,0.0320610909514857
"580","Soul Sugar",44,2.24331722222222,0.0320610909514857
"581","Tash Sultana",44,3.14950166666667,0.0320610909514857
"582","Yeah Yeah Yeahs",44,1.75304694444444,0.0320610909514857
"583","Alex Hook",43,3.94946555555556,0.0313324297934974
