"","master_metadata_album_artist_name","month","hours"
"378","7Saiyen",2022-07-31,0.0521680555555556
"379","7ru7h",2020-05-31,0.000988055555555556
"380","80purppp",2023-02-28,0.0339502777777778
"381","870glizzy",2022-08-31,0.0339263888888889
"382","870glizzy",2022-10-31,0.04125
"383","870glizzy",2022-11-30,0.04125
"384","88-Keys",2022-03-31,0.0562194444444444
"385","88-Keys",2022-07-31,0.0562194444444444
"386","88GLAM",2018-10-31,0.0514766666666667
"387","88GLAM",2019-01-31,0.0511413888888889
"388","88GLAM",2019-03-31,0.0502258333333333
"389","88GLAM",2019-04-30,1.76058611111111
"390","88GLAM",2019-05-31,0.767251944444444
"391","88GLAM",2019-10-31,0.0502258333333333
"392","88GLAM",2020-03-31,0.251129166666667
"393","88GLAM",2020-04-30,0.150705
"394","88GLAM",2020-05-31,0.100892777777778
"395","88GLAM",2020-08-31,0.0502258333333333
"396","88GLAM",2020-10-31,0.0502258333333333
"397","88GLAM",2021-08-31,0.0514766666666667
"398","88GLAM",2021-09-30,0.0514766666666667
"399","88GLAM",2021-10-31,0.0502258333333333
"400","88rising",2018-10-31,0.0783947222222222
"401","88rising",2018-11-30,0.107035833333333
"402","88rising",2019-02-28,0.291619444444444
"403","88rising",2019-05-31,0.176433333333333
"404","88rising",2020-04-30,0.791279722222222
"405","88rising",2020-05-31,0.0780113888888889
"406","8ruki",2023-05-31,0.0293816666666667
"407","9 Gramm",2020-12-31,0.0929666666666667
"408","9 Lazy 9",2022-10-31,0.0681925
"409","9 Lazy 9",2023-01-31,0.0802972222222222
"410","91 All Stars",2020-09-30,0.000283888888888889
"411","91 All Stars",2020-11-30,0
"412","916frosty",2020-09-30,0.0691116666666667
"413","916frosty",2021-10-31,0.0691116666666667
"414","93FEETOFSMOKE",2019-10-31,0.0311475
"415","97SPECIAL",2020-11-30,0.0313888888888889
"416","99",2020-06-30,0.0036875
"417","99",2020-10-31,0.122751111111111
"418","99",2021-05-31,0.0613738888888889
"419","99 Neighbors",2022-11-30,0.207399444444444
"420","99GINGER",2023-01-31,0.0258563888888889
"421","A Boogie Wit da Hoodie",2018-12-31,0.499721666666667
"422","A Boogie Wit da Hoodie",2019-02-28,2.34650611111111
"423","A Boogie Wit da Hoodie",2019-03-31,0.771091944444444
"424","A Boogie Wit da Hoodie",2019-04-30,0.221973888888889
"425","A Boogie Wit da Hoodie",2019-05-31,0.28153
"426","A Boogie Wit da Hoodie",2019-07-31,0.571122777777778
"427","A Boogie Wit da Hoodie",2019-08-31,0.235978055555556
"428","A Boogie Wit da Hoodie",2019-09-30,0.380440277777778
"429","A Boogie Wit da Hoodie",2019-11-30,0.107977222222222
"430","A Boogie Wit da Hoodie",2020-01-31,0.000111666666666667
"431","A Boogie Wit da Hoodie",2020-03-31,0.158819722222222
"432","A Boogie Wit da Hoodie",2020-04-30,0.370274444444444
"433","A Boogie Wit da Hoodie",2020-05-31,0.228289166666667
"434","A Boogie Wit da Hoodie",2020-09-30,0.148848888888889
"435","A Boogie Wit da Hoodie",2020-10-31,0.311560833333333
"436","A Boogie Wit da Hoodie",2021-12-31,0.115285277777778
"437","A Boogie Wit da Hoodie",2022-01-31,0.170678888888889
"438","A Boogie Wit da Hoodie",2022-03-31,0.0439527777777778
"439","A Boogie Wit da Hoodie",2022-07-31,0.0523786111111111
"440","A Boogie Wit da Hoodie",2023-10-31,0.0355988888888889
"441","A L E X",2020-11-30,0.077925
"442","A Man Called Adam",2022-07-31,0.0877777777777778
"443","A R I Z O N A",2019-10-31,0.0954988888888889
"444","A R I Z O N A",2019-11-30,0.0954988888888889
"445","A R I Z O N A",2020-01-31,0.238747222222222
"446","A Taste Of Honey",2022-07-31,0.0820186111111111
"447","A Tribe Called Quest",2019-10-31,0.058885
"448","A$AP Ferg",2019-01-31,0.196344722222222
"449","A$AP Ferg",2019-10-31,0.258071111111111
"450","A$AP Ferg",2020-03-31,0.0437516666666667
"451","A$AP Ferg",2020-04-30,0.44589
"452","A$AP Ferg",2020-07-31,0.0790227777777778
"453","A$AP Ferg",2020-08-31,0.207018333333333
"454","A$AP Ferg",2020-09-30,0.0619408333333333
"455","A$AP Ferg",2020-10-31,0.105181111111111
"456","A$AP Ferg",2020-12-31,0.187641666666667
"457","A$AP Ferg",2021-01-31,0.0482222222222222
"458","A$AP Ferg",2021-02-28,0.0858133333333333
"459","A$AP Ferg",2023-07-31,0.558890555555556
"460","A$AP Mob",2019-01-31,0.121604722222222
"461","A$AP Mob",2019-10-31,0.280477777777778
"462","A$AP Mob",2020-08-31,0.0802330555555556
"463","A$AP Mob",2022-09-30,0.0406616666666667
"464","A$AP Mob",2022-11-30,0.0406738888888889
"465","A$AP Mob",2023-06-30,0.00643944444444444
"466","A$AP Rocky",2018-01-31,0.289984444444444
"467","A$AP Rocky",2018-02-28,0.797504444444444
"468","A$AP Rocky",2018-03-31,0.0724961111111111
"469","A$AP Rocky",2018-04-30,0.579968888888889
"470","A$AP Rocky",2018-05-31,0.434976666666667
"471","A$AP Rocky",2018-09-30,0.0724961111111111
"472","A$AP Rocky",2018-10-31,0.117288888888889
"473","A$AP Rocky",2019-01-31,0.1936775
"474","A$AP Rocky",2019-02-28,0.0724961111111111
"475","A$AP Rocky",2019-03-31,0.121514722222222
"476","A$AP Rocky",2019-07-31,0.197096111111111
"477","A$AP Rocky",2019-09-30,0.235045277777778
"478","A$AP Rocky",2019-10-31,0.442012777777778
"479","A$AP Rocky",2019-12-31,0.0724961111111111
"480","A$AP Rocky",2020-01-31,0.0415925
"481","A$AP Rocky",2020-02-29,0.0724961111111111
"482","A$AP Rocky",2020-03-31,0.322824444444444
"483","A$AP Rocky",2020-04-30,2.45607861111111
"484","A$AP Rocky",2020-05-31,0.0415925
